sr_no,station,zone,code,division,state,present_category,nsg_group,passengers_reserved,passengers_unreserved,passengers_total,earnings_reserved,earnings_unreserved,earnings_total,proposed_category
180,Lataguri,NFR,LTG,APDJ,WEST BENGAL,NSG-6,NSG-6,0,19441,19441,0,542930,542930,NSG-6
181,Bhairabi,NFR,BHRB,LMG,ASSAM,NSG-6,NSG-6,0,25493,25493,0,535100,535100,NSG-6
182,Surjakamal,NFR,SJKL,KIR,WEST BENGAL,NSG-6,NSG-6,0,18857,18857,0,534615,534615,NSG-6
183,New Changrabandha,NFR,NCBD,APDJ,WEST BENGAL,NSG-6,NSG-6,0,13507,13507,0,501500,501500,NSG-6
184,Gulma,NFR,GLMA,APDJ,WEST BENGAL,NSG-6,NSG-6,0,16453,16453,0,490970,490970,NSG-6
185,Kamrupkhetri,NFR,KKET,LMG,ASSAM,NSG-6,NSG-6,0,34119,34119,0,490835,490835,NSG-6
186,Boko,NFR,BOKO,RNY,ASSAM,NSG-6,NSG-6,,20422,20422,,481503,481503,NSG-6
187,Maynaguriroad,NFR,MYGD,APDJ,WEST BENGAL,NSG-6,NSG-6,0,15096,15096,0,472005,472005,NSG-6
188,Panjipara,NFR,PJP,KIR,WEST BENGAL,NSG-6,NSG-6,0,24312,24312,0,467620,467620,NSG-6
189,Mirza,NFR,MRZA,RNY,ASSAM,NSG-6,NSG-6,,29915,29915,,452799,452799,NSG-6
190,Mujnai,NFR,MJE,APDJ,WEST BENGAL,NSG-6,NSG-6,0,9404,9404,0,444990,444990,NSG-6
191,Baradighi,NFR,BDS,APDJ,WEST BENGAL,NSG-6,NSG-6,0,17983,17983,0,428830,428830,NSG-6
192,Krishnai,NFR,KRNI,RNY,ASSAM,NSG-6,NSG-6,,9931,9931,,427945,427945,NSG-6
193,Boxirhat,NFR,BXHT,APDJ,ASSAM,NSG-6,NSG-6,0,8070,8070,0,426650,426650,NSG-6
194,Barlongfer,NFR,BRLF,LMG,ASSAM,NSG-6,NSG-6,0,11607,11607,0,415720,415720,NSG-6
195,Bindukuri,NFR,BKTB,RNY,ASSAM,NSG-6,NSG-6,,13247,13247,,410865,410865,NSG-6
196,Agthori,NFR,AGT,LMG,ASSAM,NSG-4,NSG-6,0,15315,15315,0,408720,408720,NSG-6
197,Tinmile Hat,NFR,TMH,KIR,WEST BENGAL,NSG-6,NSG-6,0,8320,8320,0,407920,407920,NSG-6
198,Lahowal,NFR,LHL,TSK,ASSAM,NSG-6,NSG-6,0,10715,10715,0,407370,407370,NSG-6
199,Thakurkuchi,NFR,TKC,LMG,ASSAM,NSG-6,NSG-6,0,57476,57476,0,403690,403690,NSG-6
200,New Gitaldaha,NFR,NGTG,APDJ,WEST BENGAL,NSG-6,NSG-6,0,27235,27235,0,393965,393965,NSG-6
201,Khandikar,NFR,KYO,RNY,ASSAM,NSG-6,NSG-6,,20330,20330,,393100,393100,NSG-6
202,Bazarghat Halt,NFR,BZGT,LMG,ASSAM,NSG-6,NSG-6,0,28600,28600,0,390000,390000,NSG-6
203,Jugijan,NFR,JGJN,LMG,ASSAM,NSG-6,NSG-6,0,9066,9066,0,388825,388825,NSG-6
204,Bhanga,NFR,BXG,LMG,ASSAM,NSG-5,NSG-6,119,11851,11970,26982,346140,373122,NSG-6
205,Dharamtul,NFR,DML,LMG,ASSAM,NSG-5,NSG-6,0,17613,17613,0,366730,366730,NSG-6
206,Amjonga,NFR,AMGA,RNY,ASSAM,NSG-6,NSG-6,,9828,9828,,362595,362595,NSG-6
207,Tipkai,NFR,TPK,APDJ,ASSAM,HG-3,NSG-6,0,8893,8893,0,349010,349010,NSG-6
208,Rangapani,NFR,RNI,KIR,WEST BENGAL,NSG-6,NSG-6,0,5263,5263,0,346375,346375,NSG-6
209,Chaprakata,NFR,CPQ,RNY,ASSAM,NSG-6,NSG-6,,11898,11898,,339167,339167,NSG-6
210,Narangi,NFR,NNGE,LMG,ASSAM,NSG-6,NSG-6,0,18001,18001,0,337095,337095,NSG-6
211,Chabua,NFR,CHB,TSK,ASSAM,NSG-6,NSG-6,0,8933,8933,0,336850,336850,NSG-6
212,Samuktala Road,NFR,SMTA,APDJ,WEST BENGAL,NSG-6,NSG-6,0,8139,8139,0,330145,330145,NSG-6
213,Domohani,NFR,DOI,APDJ,WEST BENGAL,NSG-6,NSG-6,0,20002,20002,0,326685,326685,NSG-6
214,Manderdisa,NFR,MYD,LMG,ASSAM,NSG-6,NSG-6,252,873,1125,280195,44850,325045,NSG-6
215,Jatinga Lumpur,NFR,JGLP,LMG,ASSAM,NSG-6,NSG-6,158,5977,6135,50406,273125,323531,NSG-6
216,Aujuri,NFR,AJRE,LMG,ASSAM,NSG-6,NSG-6,0,18564,18564,0,319115,319115,NSG-6
217,Bishramganj,NFR,BHRM,LMG,TRIPURA,NSG-6,NSG-6,0,15704,15704,0,317475,317475,NSG-6
218,Agomoni,NFR,AGMN,APDJ,ASSAM,NSG-6,NSG-6,0,6113,6113,0,311720,311720,NSG-6
219,Numaligarh,NFR,NMGY,TSK,ASSAM,NSG-6,NSG-6,252,3302,3554,90516,204600,295116,NSG-6
220,Jiribam,NFR,JRBM,LMG,MANIPUR,NSG-6,NSG-6,1724,968,2692,271876,18225,290101,NSG-6
221,Nailalung,NFR,NLN,LMG,ASSAM,NSG-6,NSG-6,0,9298,9298,0,287840,287840,NSG-6
222,Majgaon Assam,NFR,MZQ,RNY,ASSAM,NSG-6,NSG-6,,4488,4488,,281655,281655,NSG-6
223,Habaipur,NFR,HWX,LMG,ASSAM,NSG-6,NSG-6,0,6372,6372,0,280320,280320,NSG-6
224,Raninagar Jalpaiguri,NFR,RQJ,KIR,WEST BENGAL,NSG-6,NSG-6,0,29070,29070,0,279455,279455,NSG-6
225,Bhilgaon,NFR,BHGN,LMG,ASSAM,NSG-6,NSG-6,0,7480,7480,0,276100,276100,NSG-6
226,New Baneswar,NFR,NBS,APDJ,WEST BENGAL,NSG-6,NSG-6,0,6098,6098,0,265805,265805,NSG-6
227,Hatikhali,NFR,HTL,LMG,ASSAM,NSG-6,NSG-6,87,4092,4179,22643,230715,253358,NSG-6
228,Mangurjan,NFR,MXJ,KIR,WEST BENGAL,NSG-6,NSG-6,0,15903,15903,0,250885,250885,NSG-6
229,Chapaguri,NFR,CAPG,APDJ,WEST BENGAL,NSG-6,NSG-6,0,7930,7930,0,250885,250885,NSG-6
230,Bandarkhal,NFR,BXK,LMG,ASSAM,NSG-6,NSG-6,115,4491,4606,29554,218765,248319,NSG-6
231,Algapur,NFR,ALGP,LMG,ASSAM,NSG-6,NSG-6,0,21571,21571,0,248185,248185,NSG-6
232,Ramnathpur,NFR,RTRA,LMG,ASSAM,NSG-6,NSG-6,0,12750,12750,0,243940,243940,NSG-6
233,Salona,NFR,SLON,LMG,ASSAM,NSG-6,NSG-6,0,4312,4312,0,213720,213720,NSG-6
234,Langcholie T,NFR,LCT,LMG,ASSAM,NSG-6,NSG-6,0,6130,6130,0,212790,212790,NSG-6
235,Jamalda Gopalpur,NFR,JDGP,APDJ,WEST BENGAL,NSG-6,NSG-6,0,6521,6521,0,210355,210355,NSG-6
236,Khotkhoti,NFR,KHKT,LMG,ASSAM,NSG-6,NSG-6,0,5943,5943,0,208980,208980,NSG-6
237,Tilbhum,NFR,TBX,LMG,ASSAM,NSG-6,NSG-6,0,15366,15366,0,208525,208525,NSG-6
238,Chatarhat,NFR,CAT,KIR,WEST BENGAL,NSG-6,NSG-6,0,4078,4078,0,200965,200965,NSG-6
239,Dhaipukhuri,NFR,DHRY,LMG,ASSAM,NSG-6,NSG-6,0,4499,4499,0,197955,197955,NSG-6
240,Sukritipur,NFR,SQF,LMG,ASSAM,NSG-5,NSG-6,80,4099,4179,19262,175040,194302,NSG-6
241,Dumdangi,NFR,DMZ,KIR,WEST BENGAL,NSG-6,NSG-6,0,3961,3961,0,186440,186440,NSG-6
242,Panikhaiti,NFR,PHI,LMG,ASSAM,NSG-6,NSG-6,0,7098,7098,0,179495,179495,NSG-6
243,Tingrai,NFR,TII,TSK,ASSAM,NSG-6,NSG-6,0,5085,5085,0,175950,175950,NSG-6
244,Maradanga,NFR,MRDG,APDJ,WEST BENGAL,NSG-6,NSG-6,0,3984,3984,0,174005,174005,NSG-6
245,Panbari,NFR,PNB,LMG,ASSAM,NSG-6,NSG-6,0,10128,10128,0,172130,172130,NSG-6
246,Baneswar,NFR,BSW,APDJ,WEST BENGAL,NSG-6,NSG-6,0,14473,14473,0,170255,170255,NSG-6
247,Kharahat,NFR,KRHT,TSK,ASSAM,HG-3,NSG-6,0,5310,5310,0,164610,164610,NSG-6
248,Panitola,NFR,PNT,TSK,ASSAM,NSG-6,NSG-6,0,4164,4164,0,149390,149390,NSG-6
249,Daldali,NFR,DLDE,LMG,ASSAM,NSG-6,NSG-6,0,4407,4407,0,147935,147935,NSG-6
250,Bhalukpong,NFR,BHNG,RNY,ARUNACHAL PRADESH,NSG-6,NSG-6,,11827,11827,,146970,146970,NSG-6
251,Mungiakami,NFR,MGKM,LMG,TRIPURA,NSG-6,NSG-6,26,10608,10634,3968,140430,144398,NSG-6
252,Salbari,NFR,SXX,APDJ,WEST BENGAL,NSG-6,NSG-6,0,3199,3199,0,141725,141725,NSG-6
253,Tangani,NFR,TNGN,TSK,ASSAM,NSG-6,NSG-6,0,3115,3115,0,136410,136410,NSG-6
254,Misamari,NFR,MSMI,RNY,ASSAM,NSG-6,NSG-6,,8098,8098,,127540,127540,NSG-6
255,Dangtal,NFR,DTX,RNY,ASSAM,NSG-6,NSG-6,0,2853,2853,0,127180,127180,NSG-6
256,Barahu,NFR,BRHU,LMG,ASSAM,NSG-6,NSG-6,0,10172,10172,0,126260,126260,NSG-6
257,Deotal,NFR,DOTL,KIR,WEST BENGAL,NSG-6,NSG-6,0,4727,4727,0,123030,123030,NSG-6
258,Dikom,NFR,DKM,TSK,ASSAM,NSG-6,NSG-6,0,3287,3287,0,121310,121310,NSG-6
259,Salchapra,NFR,SCA,LMG,ASSAM,NSG-4,NSG-6,0,10485,10485,0,114305,114305,NSG-6
260,Betgara,NFR,BYXA,APDJ,WEST BENGAL,NSG-6,NSG-6,0,3149,3149,0,111460,111460,NSG-6
261,Rangapahar,NFR,RXR,LMG,NAGALAND,NSG-6,NSG-6,0,3151,3151,0,106000,106000,NSG-6
262,New Sissiborgaon,NFR,NSBG,TSK,ASSAM,NSG-6,NSG-6,0,2691,2691,0,100880,100880,NSG-6
263,Hatwar,NFR,HWR,KIR,WEST BENGAL,NSG-6,NSG-6,0,5197,5197,0,98705,98705,NSG-6
264,Daotuhaja,NFR,DJA,LMG,ASSAM,NSG-6,NSG-6,77,1847,1924,17288,76310,93598,NSG-6
265,Gaisal,NFR,GIL,KIR,WEST BENGAL,NSG-6,NSG-6,0,5137,5137,0,93160,93160,NSG-6
266,Gumanihat,NFR,GUZ,APDJ,WEST BENGAL,NSG-6,NSG-6,0,2027,2027,0,90710,90710,NSG-6
267,Kolaigram,NFR,KLGR,APDJ,WEST BENGAL,NSG-6,NSG-6,0,1766,1766,0,79710,79710,NSG-6
268,Gunjaria,NFR,GEOR,KIR,WEST BENGAL,NSG-6,NSG-6,0,4610,4610,0,72685,72685,NSG-6
269,Dhamalgaon,NFR,DMGN,TSK,ASSAM,NSG-6,NSG-6,0,1902,1902,0,70405,70405,NSG-6
270,Migrendisa,NFR,MGE,LMG,ASSAM,NSG-6,NSG-6,97,998,1095,21719,48660,70379,NSG-6
271,Thakurbari,NFR,TKTB,RNY,ASSAM,NSG-6,NSG-6,,5296,5296,,69770,69770,NSG-6
272,Thekeraguri,NFR,TGE,LMG,ASSAM,NSG-6,NSG-6,0,3582,3582,0,63495,63495,NSG-6
273,Altagram,NFR,ATM,APDJ,WEST BENGAL,NSG-6,NSG-6,0,1454,1454,0,61130,61130,NSG-6
274,Tetelia,NFR,TTLA,LMG,ASSAM,NSG-6,NSG-6,0,4915,4915,0,47795,47795,NSG-6
275,New Domohani,NFR,NQH,APDJ,WEST BENGAL,NSG-6,NSG-6,0,911,911,0,39725,39725,NSG-6
276,Panchgram,NFR,PNGM,LMG,ASSAM,NSG-6,NSG-6,0,2704,2704,0,27935,27935,NSG-6
277,Damchara,NFR,DCA,LMG,ASSAM,NSG-6,NSG-6,105,18,123,27203,515,27718,NSG-6
278,Kowang,NFR,KOWN,TSK,ASSAM,NSG-6,NSG-6,0,1071,1071,0,25835,25835,NSG-6
279,Mupa,NFR,MUPA,LMG,ASSAM,NSG-6,NSG-6,13,14,27,3035,580,3615,NSG-6
280,Phiding,NFR,PDJ,LMG,ASSAM,NSG-6,NSG-6,10,9,19,1895,375,2270,NSG-6
281,Ranigaidinliu,NFR,RGBP,LMG,MANIPUR,-,NSG-6,8,0,8,2020,0,2020,NSG-6
282,Jirighat,NFR,JIGT,LMG,ASSAM,NSG-6,NSG-6,0,101,101,0,1520,1520,NSG-6
283,Dihakho,NFR,DKE,LMG,ASSAM,NSG-6,NSG-6,8,1,9,1160,90,1250,NSG-6
284,Vangaichungpao,NFR,VNGP,LMG,MANIP UR,NSG-6,NSG-6,6,0,6,575,0,575,NSG-6
285,Patharkhola,NFR,PKB,LMG,ASSAM,NSG-6,NSG-6,0,9,9,0,370,370,NSG-6
286,Nizbari,NFR,NJB,KIR,WEST BENGAL,NSG-6,NSG-6,0,6,6,0,365,365,NSG-6
287,Pundibari,NFR,PQZ,APDJ,WEST BENGAL,NSG-6,NSG-6,0,14,14,0,310,310,NSG-6
288,Thingou,NFR,TGBP,LMG,MANIPUR,-,NSG-6,2,0,2,190,0,190,NSG-6
289,Laopani,NFR,LPN,LMG,ASSAM,NSG-6,NSG-6,0,2,2,0,60,60,NSG-6
290,Sajerpar,NFR,SJRR,APDJ,WEST BENGAL,NSG-6,NSG-6,0,1,1,0,45,45,NSG-6
291,Rangaphar Crossing,NFR,RXRX,LMG,NAGALAND,NSG-6,NSG-6,0,1,1,0,10,10,NSG-6
292,Gayabari,NFR,GBE,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
293,Ghum,NFR,GHUM,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
294,Mahanadi,NFR,MHN,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
295,Rangtonk,NFR,RTG,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
296,Sonada,NFR,SAD,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
297,Sukna,NFR,SN,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
298,Singhabad,NFR,SQB,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
299,Tindharia,NFR,TDH,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
300,Tung,NFR,TUNG,KIR,WEST BENGAL,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
301,Badarpurgh,NFR,BPG,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
302,Chargola,NFR,CGX,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
303,Dibolong,NFR,DBLG,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
304,Kamranga,NFR,KMNG,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
305,New Silchar,NFR,NSCL,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
306,Oating,NFR,OTN,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
307,Shribar,NFR,SIBR,LMG,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
308,Alamganj,NFR,ALMG,RNY,ASSAM,NA,NSG-6,,0,,,0,0,NSG-6
309,Bechimari,NFR,BCMR,RNY,ASSAM,NA,NSG-6,,0,,,0,0,NSG-6
310,Bogribari,NFR,BGBI,RNY,ASSAM,NA,NSG-6,,0,,,0,0,NSG-6
311,Bilasipara,NFR,BLPA,RNY,ASSAM,NA,NSG-6,,0,,,0,0,NSG-6
312,Chapar,NFR,CHAA,RNY,ASSAM,NA,NSG-6,,0,,,0,0,NSG-6
313,Lapetkata,NFR,LPK,TSK,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
314,Sripuriagaon,NFR,SPGN,TSK,ASSAM,NSG-6,NSG-6,0,0,,0,0,0,NSG-6
1,Jogendranagar,NFR,JGNR,LMG,TRIPURA,HG-3,NSG-6,671,174966,175637,129693,4534785,4664478,HG-2
2,Dullabcherra,NFR,DLCR,LMG,ASSAM,HG-3,NSG-6,6993,45984,52977,2339724,703410,3043134,HG2
3,Bordubi Road,NFR,BDT,TSK,ASSAM,NSG-6,NSG-6,0,47242,47242,0,1732175,1732175,HG-2
5,Nazira,NFR,NZR,TSK,ASSAM,NSG-6,NSG-6,0,37568,37568,0,1375315,1375315,HG-2
6,Thailiktwisa,NFR,THTW,LMG,TRIPURA,HG-3,NSG-6,0,71912,71912,0,1304910,1304910,HG2
8,Moterjhar,NFR,MTJR,APDJ,ASSAM,HG-2,NSG-6,0,14507,14507,0,1085715,1085715,HG-2
9,Uttarkathani,NFR,UKE,RNY,ASSAM,HG-2,NSG-6,,24192,24192,,1031515,1031515,HG-2
11,Bedetti,NFR,BVV,RNY,ASSAM,HG-2,NSG-6,,18334,18334,,926058,926058,HG-2
12,Samaguri,NFR,SMGR,LMG,ASSAM,HG-3,NSG-6,0,16483,16483,0,882740,882740,HG2
16,Mezenga,NFR,MZA,TSK,ASSAM,NSG-6,NSG-6,0,21334,21334,0,747055,747055,HG-2
18,Garoparahalt,NFR,GRU,APDJ,WEST BENGAL,HG-2,NSG-6,0,13501,13501,0,684925,684925,HG-2
19,Jonekarang,NFR,JYK,TSK,ASSAM,HG-3,NSG-6,2,12894,12896,540,677815,678355,HG-2
20,Balimara,NFR,BTZ,TSK,ASSAM,HG-3,NSG-6,0,20464,20464,0,649840,649840,HG-2
23,Hugrajuli,NFR,HJLI,RNY,ASSAM,HG-3,NSG-6,,47852,47852,,621853,621853,HG-2
25,Siajuli,NFR,SWJ,TSK,ASSAM,HG-2,NSG-6,3,13271,13274,575,610855,611430,HG-2
26,Manshahi,NFR,MNS,KIR,BIHAR,HG-3,NSG-6,663,13130,13793,124430,458600,583030,HG-2
27,Mahiyarpur,NFR,MHPR,KIR,BIHAR,HG-3,NSG-6,509,15581,16090,109200,467430,576630,HG-2
28,Tipling,NFR,TPG,RNY,ASSAM,HG-3,NSG-6,,13049,13049,,576039,576039,HG-2
29,Bebejia,NFR,BEE,LMG,ASSAM,HG-3,NSG-6,0,18071,18071,0,557615,557615,HG2
30,Belsiri,NFR,BLRE,RNY,ASSAM,HG-3,NSG-6,,37726,37726,,552890,552890,HG-2
31,Anipur,NFR,APU,LMG,ASSAM,HG-3,NSG-6,0,45427,45427,0,541120,541120,HG2
32,Dhingbazar,NFR,DBZ,LMG,ASSAM,HG-3,NSG-6,0,17757,17757,0,507925,507925,HG2
1,Nalkata,NFR,NLKT,LMG,TRIPURA,HG-3,NSG-6,877,15014,15891,192834,304570,497404,HG-3
2,Brahmajan,NFR,BJL,RNY,ASSAM,HG-3,NSG-6,,9824,9824,,495080,495080,HG-3
4,Guagachha,NFR,GSA,RNY,ASSAM,HG-2,NSG-6,,25080,25080,,489055,489055,HG-3
5,Puranigudam,NFR,PUQ,LMG,ASSAM,HG-3,NSG-6,0,9206,9206,0,486085,486085,HG-3
6,Juriagaon,NFR,JRX,LMG,ASSAM,HG-3,NSG-6,0,20799,20799,0,469515,469515,HG-3
7,Sekerkote,NFR,SKKE,LMG,TRIPURA,HG-3,NSG-6,0,25197,25197,0,432100,432100,HG-3
8,Niz-Sariha,NFR,NSRH,RNY,ASSAM,HG-2,NSG-6,,17676,17676,,419355,419355,HG-3
9,Batadrawa Road,NFR,BTDR,LMG,ASSAM,HG-3,NSG-6,0,19510,19510,0,414190,414190,HG-3
10,Balikotia,NFR,BKS,LMG,ASSAM,HG-3,NSG-6,0,18980,18980,0,391465,391465,HG-3
11,Moridhal,NFR,MYO,TSK,ASSAM,HG-3,NSG-6,0,7949,7949,0,389360,389360,HG-3
13,Tarabari,NFR,TRBE,LMG,ASSAM,HG-3,NSG-6,0,19050,19050,0,368900,368900,HG-3
14,Abutara Halt,NFR,ABW,APDJ,WEST BENGAL,HG-2,NSG-6,0,24162,24162,0,361050,361050,HG-3
17,Subansiri,NFR,SUZ,TSK,ASSAM,HG-3,NSG-6,8,6626,6634,1680,343365,345045,HG-3
18,Ratabari,NFR,RTBR,LMG,ASSAM,HG-3,NSG-6,0,28350,28350,0,343740,343740,HG-3
19,Boruanagar,NFR,BRNR,TSK,ASSAM,HG-3,NSG-6,0,9122,9122,0,313905,313905,HG-3
21,Nayarhat,NFR,NYRH,APDJ,WEST BENGAL,HG-3,NSG-6,0,9871,9871,0,308755,308755,HG-3
23,Dahgaon,NFR,DGX,LMG,ASSAM,HG-3,NSG-6,0,14225,14225,0,306400,306400,HG-3
24,Bargolai,NFR,BGLI,TSK,ASSAM,HG-3,NSG-6,0,7181,7181,0,298120,298120,HG-3
25,Daulatpurhat,NFR,DLPH,KIR,WEST BENGAL,HG-3,NSG-6,425,10167,10592,136900,151470,288370,HG-3
26,Mallickpurhat,NFR,MKRH,KIR,WEST BENGAL,HG-3,NSG-6,142,6941,7083,50843,216760,267603,HG-3
28,Monabari,NFR,MFC,RNY,ASSAM,HG-3,NSG-6,,4930,4930,,263550,263550,HG-3
31,Bhetaguri,NFR,VTG,APDJ,WEST BENGAL,HG-2,NSG-6,0,15915,15915,0,236300,236300,HG-3
32,Jiadhal,NFR,JFD,TSK,ASSAM,HG-3,NSG-6,0,5098,5098,0,228115,228115,HG-3
33,Kanaibazar,NFR,KNBR,LMG,ASSAM,HG-3,NSG-6,0,17972,17972,0,221990,221990,HG-3
35,Falimari,NFR,FLM,APDJ,WEST BENGAL,HG-2,NSG-6,0,13736,13736,0,218205,218205,HG-3
37,Dinhata College Halt,NFR,DCH,APDJ,WEST BENGAL,HG-2,NSG-6,0,13291,13291,0,210625,210625,HG-3
38,Phulaguri,NFR,PUY,LMG,ASSAM,HG-3,NSG-6,0,8174,8174,0,209420,209420,HG-3
40,Eraligul,NFR,ELL,LMG,ASSAM,HG-3,NSG-6,0,16611,16611,0,184850,184850,HG-3
41,Chakiting,NFR,CFG,TSK,ASSAM,NSG-6,NSG-6,0,5203,5203,0,177650,177650,HG-3
42,Dipa,NFR,DIPA,TSK,ASSAM,HG-3,NSG-6,0,3268,3268,0,175510,175510,HG-3
44,Alipurduar Court,NFR,APDC,APDJ,WEST BENGAL,HG-2,NSG-6,0,12683,12683,0,171250,171250,HG-3
46,Tunijan,NFR,TUJ,RNY,ASSAM,HG-3,NSG-6,,3581,3581,,156600,156600,HG-3
49,Monacher Ra,NFR,MNCR,LMG,ASSAM,HG-3,NSG-6,0,11220,11220,0,151240,151240,HG-3
50,Nadiapur,NFR,NPU,LMG,TRIPURA,HG-3,NSG-6,0,9753,9753,0,140935,140935,HG-3
53,Badulipara,NFR,BLPR,TSK,ASSAM,HG-3,NSG-6,424,0,424,113539,0,113539,HG-3
54,Khumtai,NFR,KUTI,TSK,ASSAM,HG-3,NSG-6,411,0,411,107613,0,107613,HG-3
55,Monglajhora,NFR,MONJ,APDJ,ASSAM,HG-3,NSG-6,0,3040,3040,0,94250,94250,HG-3
56,Rangaliting,NFR,RNGG,TSK,ASSAM,HG-3,NSG-6,334,0,334,83624,0,83624,HG-3
57,Neoranadi,NFR,NOR,APDJ,WEST BENGAL,HG-3,NSG-6,0,5661,5661,0,76910,76910,HG-3
58,Longai,NFR,LGI,LMG,ASSAM,NSG-6,NSG-6,0,5338,5338,0,68350,68350,HG-3
59,Sepon,NFR,SEPN,TSK,ASSAM,HG-3,NSG-6,0,2550,2550,0,68250,68250,HG-3
60,Kayasthagram,NFR,KTGM,LMG,ASSAM,HG-3,NSG-6,0,4750,4750,0,60250,60250,HG-3
62,Suprakandi,NFR,SAKD,LMG,ASSAM,HG-3,NSG-6,0,4070,4070,0,56725,56725,HG-3
63,Mahamadpur-Assam,NFR,MPRA,LMG,ASSAM,HG-3,NSG-6,0,3706,3706,0,55010,55010,HG-3
64,Sisibargaon,NFR,SBGN,TSK,ASSAM,HG-3,NSG-6,1,1155,1156,180,53550,53730,HG-3
65,Moabund,NFR,MOBD,TSK,ASSAM,HG-3,NSG-6,159,0,159,41150,0,41150,HG-3
66,Nolbari,NFR,NOLB,RNY,ASSAM,HG-3,NSG-6,,1500,1500,,38580,38580,HG-3
67,Manipurbagan,NFR,MOAR,LMG,ASSAM,HG-3,NSG-6,0,1351,1351,0,24010,24010,HG-3
68,Rupsibari,NFR,RPB,LMG,ASSAM,HG-3,NSG-6,0,2371,2371,0,23710,23710,HG-3
69,Dhing,NFR,DIU,LMG,ASSAM,HG-3,NSG-6,0,1000,1000,0,20500,20500,HG-3
71,Mohkhuti,NFR,MHKT,TSK,ASSAM,HG-3,NSG-6,0,150,150,0,5500,5500,HG-3
72,Wadrengdisa,NFR,WDA,LMG,ASSAM,HG-3,NSG-6,29,0,29,5473,0,5473,HG-3
73,Chandkhira Bagan,NFR,CHBN,LMG,ASSAM,HG-3,NSG-6,0,371,371,0,5150,5150,HG-3
74,Kalachand,NFR,KQI,LMG,ASSAM,HG-3,NSG-6,27,0,27,5049,0,5049,HG-3
75,Dangori,NFR,DNGI,TSK,ASSAM,NSG-6,NSG-6,0,120,120,0,3700,3700,HG-3
76,Jawaharnagar,NFR,JWNR,LMG,TRIPURA,HG-3,NSG-6,18,0,18,3320,0,3320,HG-3
77,Rupai,NFR,RPY,TSK,ASSAM,NSG-6,NSG-6,0,39,39,0,1170,1170,HG-3
78,Doomdoma,NFR,DUT,TSK,ASSAM,NSG-6,NSG-6,0,35,35,0,1050,1050,HG-3
79,Talap,NFR,TLL,TSK,ASSAM,NSG-6,NSG-6,0,17,17,0,510,510,HG-3
80,Maishashan,NFR,MSSN,LMG,ASSAM,NSG-6,NSG-6,0,37,37,0,430,430,HG-3
81,Hansara,NFR,HNR,TSK,ASSAM,NSG-6,NSG-6,0,6,6,0,180,180,HG-3
82,Barhapjan,NFR,BPJ,TSK,ASSAM,NSG-6,NSG-6,0,1,1,0,30,30,HG-3
83,Bidyadabri,NFR,BDYR,APDJ,WEST BENGAL,HG-3,NSG-6,0,0,,0,0,,HG-3
84,Bhotepatti,NFR,BPV,APDJ,WEST BENGAL,HG-3,NSG-6,0,0,,0,0,,HG-3
85,Moinarband,NFR,MRBD,LMG,ASSAM,HG-3,NSG-6,0,0,,0,0,,HG-3
86,S.K.Para,NFR,SKAP,LMG,TRIPURA,HG-3,NSG-6,0,0,,0,0,,HG-3
87,Mahutgaon,NFR,MUGN,TSK,ASSAM,HG-3,NSG-6,0,0,,0,0,,HG-3
88,Pawai,NFR,PWA,TSK,ASSAM,HG-3,NSG-6,0,0,,0,0,,HG-3
